date,category,type,change
2023-01-09,Audio & Video,NEGATIVE SPIKE,-0.25
2023-01-23,Audio & Video,NEGATIVE SPIKE,-0.75
2023-01-30,Audio & Video,NEGATIVE SPIKE,-1.0
2023-02-06,Audio & Video,POSITIVE SPIKE,0.5
2023-02-06,Audio & Video,TREND SHIFT,0.5
2023-02-13,Audio & Video,POSITIVE SPIKE,0.25
2023-02-20,Audio & Video,NEGATIVE SPIKE,-0.5
2023-02-20,Audio & Video,TREND SHIFT,-0.5
2023-02-27,Audio & Video,POSITIVE SPIKE,0.417
2023-02-27,Audio & Video,TREND SHIFT,0.417
2023-03-06,Audio & Video,POSITIVE SPIKE,0.667
2023-03-27,Audio & Video,NEGATIVE SPIKE,-0.25
2023-04-03,Audio & Video,NEGATIVE SPIKE,-0.625
2023-04-10,Audio & Video,POSITIVE SPIKE,0.583
2023-04-10,Audio & Video,TREND SHIFT,0.583
2023-04-17,Audio & Video,POSITIVE SPIKE,1.0
2023-04-24,Audio & Video,NEGATIVE SPIKE,-0.667
2023-04-24,Audio & Video,TREND SHIFT,-0.667
2023-05-01,Audio & Video,NEGATIVE SPIKE,-1.0
2023-05-22,Audio & Video,POSITIVE SPIKE,0.75
2023-05-22,Audio & Video,TREND SHIFT,0.75
2023-06-05,Audio & Video,NEGATIVE SPIKE,-0.75
2023-06-19,Audio & Video,POSITIVE SPIKE,0.667
2023-06-26,Audio & Video,POSITIVE SPIKE,0.208
2023-07-03,Audio & Video,POSITIVE SPIKE,0.333
2023-07-10,Audio & Video,NEGATIVE SPIKE,-0.333
2023-07-10,Audio & Video,TREND SHIFT,-0.333
2023-07-17,Audio & Video,NEGATIVE SPIKE,-1.0
2023-08-14,Audio & Video,POSITIVE SPIKE,0.833
2023-08-28,Audio & Video,NEGATIVE SPIKE,-0.667
2023-09-04,Audio & Video,POSITIVE SPIKE,0.75
2023-09-04,Audio & Video,TREND SHIFT,0.75
2023-09-11,Audio & Video,POSITIVE SPIKE,0.417
2023-09-18,Audio & Video,NEGATIVE SPIKE,-0.556
2023-09-18,Audio & Video,TREND SHIFT,-0.556
2023-09-25,Audio & Video,NEGATIVE SPIKE,-0.25
2023-10-02,Audio & Video,NEGATIVE SPIKE,-0.444
2023-10-09,Audio & Video,NEGATIVE SPIKE,-0.25
2023-10-16,Audio & Video,POSITIVE SPIKE,0.5
2023-10-16,Audio & Video,TREND SHIFT,0.5
2023-10-23,Audio & Video,POSITIVE SPIKE,0.75
2023-11-06,Audio & Video,NEGATIVE SPIKE,-0.25
2023-11-13,Audio & Video,NEGATIVE SPIKE,-0.333
2023-11-20,Audio & Video,NEGATIVE SPIKE,-0.25
2023-11-27,Audio & Video,POSITIVE SPIKE,0.333
2023-11-27,Audio & Video,TREND SHIFT,0.333
2023-12-04,Audio & Video,NEGATIVE SPIKE,-0.333
2023-12-04,Audio & Video,TREND SHIFT,-0.333
2023-12-11,Audio & Video,POSITIVE SPIKE,0.5
2023-12-11,Audio & Video,TREND SHIFT,0.5
2023-12-18,Audio & Video,POSITIVE SPIKE,0.583
2024-01-01,Audio & Video,NEGATIVE SPIKE,-0.75
2024-01-08,Audio & Video,NEGATIVE SPIKE,-0.375
2024-01-15,Audio & Video,POSITIVE SPIKE,0.25
2024-01-15,Audio & Video,TREND SHIFT,0.25
2024-01-29,Audio & Video,POSITIVE SPIKE,0.583
2024-02-05,Audio & Video,POSITIVE SPIKE,0.25
2024-02-12,Audio & Video,NEGATIVE SPIKE,-0.333
2024-02-12,Audio & Video,TREND SHIFT,-0.333
2024-02-19,Audio & Video,NEGATIVE SPIKE,-1.0
2024-02-26,Audio & Video,NEGATIVE SPIKE,-0.5
2024-03-04,Audio & Video,POSITIVE SPIKE,0.667
2024-03-04,Audio & Video,TREND SHIFT,0.667
2024-03-11,Audio & Video,POSITIVE SPIKE,0.333
2024-04-01,Audio & Video,POSITIVE SPIKE,0.5
2024-04-08,Audio & Video,NEGATIVE SPIKE,-0.333
2024-04-08,Audio & Video,TREND SHIFT,-0.333
2024-04-15,Audio & Video,NEGATIVE SPIKE,-1.0
2024-04-22,Audio & Video,POSITIVE SPIKE,0.5
2024-04-22,Audio & Video,TREND SHIFT,0.5
2024-04-29,Audio & Video,POSITIVE SPIKE,1.0
2024-05-13,Audio & Video,NEGATIVE SPIKE,-0.375
2024-05-27,Audio & Video,NEGATIVE SPIKE,-0.375
2024-06-10,Audio & Video,POSITIVE SPIKE,0.45
2024-07-01,Audio & Video,NEGATIVE SPIKE,-0.2
2024-07-22,Audio & Video,NEGATIVE SPIKE,-0.25
2024-07-29,Audio & Video,POSITIVE SPIKE,0.5
2024-07-29,Audio & Video,TREND SHIFT,0.5
2024-08-05,Audio & Video,POSITIVE SPIKE,0.375
2024-08-26,Audio & Video,NEGATIVE SPIKE,-0.8
2024-08-26,Audio & Video,TREND SHIFT,-0.8
2024-09-16,Audio & Video,NEGATIVE SPIKE,-0.25
2024-09-30,Audio & Video,NEGATIVE SPIKE,-0.5
2024-09-30,Audio & Video,TREND SHIFT,-0.5
2024-10-14,Audio & Video,POSITIVE SPIKE,0.5
2024-11-25,Audio & Video,POSITIVE SPIKE,0.542
2024-11-25,Audio & Video,TREND SHIFT,0.542
2021-06-21,Beauty_Personal_Care,NEGATIVE SPIKE,-0.215
2021-06-21,Beauty_Personal_Care,TREND SHIFT,-0.215
2021-09-27,Beauty_Personal_Care,NEGATIVE SPIKE,-0.233
2021-10-11,Beauty_Personal_Care,POSITIVE SPIKE,0.233
2021-10-11,Beauty_Personal_Care,TREND SHIFT,0.233
2021-10-25,Beauty_Personal_Care,NEGATIVE SPIKE,-0.333
2021-10-25,Beauty_Personal_Care,TREND SHIFT,-0.333
2021-11-08,Beauty_Personal_Care,POSITIVE SPIKE,0.258
2022-04-04,Beauty_Personal_Care,NEGATIVE SPIKE,-0.388
2022-04-18,Beauty_Personal_Care,POSITIVE SPIKE,0.256
2022-09-19,Beauty_Personal_Care,POSITIVE SPIKE,0.217
2022-10-10,Beauty_Personal_Care,NEGATIVE SPIKE,-0.246
2022-12-05,Beauty_Personal_Care,NEGATIVE SPIKE,-0.21
2023-07-10,Beauty_Personal_Care,NEGATIVE SPIKE,-0.2
2023-08-07,Beauty_Personal_Care,NEGATIVE SPIKE,-0.263
2023-11-13,Beauty_Personal_Care,NEGATIVE SPIKE,-0.26
2023-11-27,Beauty_Personal_Care,POSITIVE SPIKE,0.253
2023-11-27,Beauty_Personal_Care,TREND SHIFT,0.253
2024-01-08,Beauty_Personal_Care,POSITIVE SPIKE,0.273
2024-01-08,Beauty_Personal_Care,TREND SHIFT,0.273
2024-02-26,Beauty_Personal_Care,POSITIVE SPIKE,0.228
2024-02-26,Beauty_Personal_Care,TREND SHIFT,0.228
2024-03-04,Beauty_Personal_Care,POSITIVE SPIKE,0.21
2024-04-22,Beauty_Personal_Care,POSITIVE SPIKE,0.208
2024-04-29,Beauty_Personal_Care,NEGATIVE SPIKE,-0.281
2024-04-29,Beauty_Personal_Care,TREND SHIFT,-0.281
2024-05-13,Beauty_Personal_Care,POSITIVE SPIKE,0.333
2024-05-13,Beauty_Personal_Care,TREND SHIFT,0.333
2024-07-01,Beauty_Personal_Care,POSITIVE SPIKE,0.231
2024-07-01,Beauty_Personal_Care,TREND SHIFT,0.231
2024-12-23,Beauty_Personal_Care,POSITIVE SPIKE,0.241
2024-12-23,Beauty_Personal_Care,TREND SHIFT,0.241
2023-01-02,Cables & Adapters,NEGATIVE SPIKE,-0.5
2023-01-09,Cables & Adapters,NEGATIVE SPIKE,-0.5
2023-02-06,Cables & Adapters,POSITIVE SPIKE,0.25
2023-02-13,Cables & Adapters,POSITIVE SPIKE,0.25
2023-03-06,Cables & Adapters,NEGATIVE SPIKE,-0.667
2023-03-06,Cables & Adapters,TREND SHIFT,-0.667
2023-03-13,Cables & Adapters,NEGATIVE SPIKE,-0.208
2023-03-20,Cables & Adapters,POSITIVE SPIKE,0.25
2023-03-20,Cables & Adapters,TREND SHIFT,0.25
2023-04-10,Cables & Adapters,POSITIVE SPIKE,0.25
2023-04-10,Cables & Adapters,TREND SHIFT,0.25
2023-05-08,Cables & Adapters,POSITIVE SPIKE,0.25
2023-05-15,Cables & Adapters,POSITIVE SPIKE,0.4
2023-05-29,Cables & Adapters,NEGATIVE SPIKE,-1.0
2023-06-05,Cables & Adapters,NEGATIVE SPIKE,-0.5
2023-06-12,Cables & Adapters,POSITIVE SPIKE,1.0
2023-06-12,Cables & Adapters,TREND SHIFT,1.0
2023-06-26,Cables & Adapters,NEGATIVE SPIKE,-0.667
2023-06-26,Cables & Adapters,TREND SHIFT,-0.667
2023-07-10,Cables & Adapters,POSITIVE SPIKE,0.667
2023-07-17,Cables & Adapters,NEGATIVE SPIKE,-0.375
2023-07-17,Cables & Adapters,TREND SHIFT,-0.375
2023-07-24,Cables & Adapters,NEGATIVE SPIKE,-1.0
2023-07-31,Cables & Adapters,POSITIVE SPIKE,0.25
2023-07-31,Cables & Adapters,TREND SHIFT,0.25
2023-08-07,Cables & Adapters,POSITIVE SPIKE,0.833
2023-09-04,Cables & Adapters,NEGATIVE SPIKE,-0.25
2023-09-04,Cables & Adapters,TREND SHIFT,-0.25
2023-09-11,Cables & Adapters,NEGATIVE SPIKE,-0.25
2023-09-18,Cables & Adapters,POSITIVE SPIKE,0.5
2023-09-18,Cables & Adapters,TREND SHIFT,0.5
2023-09-25,Cables & Adapters,POSITIVE SPIKE,0.583
2023-10-02,Cables & Adapters,NEGATIVE SPIKE,-1.0
2023-10-02,Cables & Adapters,TREND SHIFT,-1.0
2023-10-16,Cables & Adapters,POSITIVE SPIKE,0.625
2023-10-16,Cables & Adapters,TREND SHIFT,0.625
2023-11-13,Cables & Adapters,NEGATIVE SPIKE,-0.25
2023-11-20,Cables & Adapters,POSITIVE SPIKE,0.25
2023-11-20,Cables & Adapters,TREND SHIFT,0.25
2023-11-27,Cables & Adapters,POSITIVE SPIKE,0.375
2023-12-18,Cables & Adapters,NEGATIVE SPIKE,-0.625
2023-12-25,Cables & Adapters,NEGATIVE SPIKE,-0.7
2024-01-01,Cables & Adapters,POSITIVE SPIKE,0.667
2024-01-01,Cables & Adapters,TREND SHIFT,0.667
2024-01-08,Cables & Adapters,POSITIVE SPIKE,0.2
2024-01-22,Cables & Adapters,POSITIVE SPIKE,0.3
2024-01-22,Cables & Adapters,TREND SHIFT,0.3
2024-02-05,Cables & Adapters,POSITIVE SPIKE,0.375
2024-02-05,Cables & Adapters,TREND SHIFT,0.375
2024-02-26,Cables & Adapters,POSITIVE SPIKE,0.375
2024-02-26,Cables & Adapters,TREND SHIFT,0.375
2024-03-04,Cables & Adapters,NEGATIVE SPIKE,-0.25
2024-03-04,Cables & Adapters,TREND SHIFT,-0.25
2024-04-01,Cables & Adapters,POSITIVE SPIKE,0.375
2024-04-08,Cables & Adapters,NEGATIVE SPIKE,-0.25
2024-04-08,Cables & Adapters,TREND SHIFT,-0.25
2024-04-15,Cables & Adapters,NEGATIVE SPIKE,-1.0
2024-04-29,Cables & Adapters,POSITIVE SPIKE,0.5
2024-05-06,Cables & Adapters,NEGATIVE SPIKE,-0.333
2024-05-06,Cables & Adapters,TREND SHIFT,-0.333
2024-05-13,Cables & Adapters,NEGATIVE SPIKE,-0.5
2024-05-27,Cables & Adapters,POSITIVE SPIKE,0.4
2024-06-10,Cables & Adapters,NEGATIVE SPIKE,-0.5
2024-06-10,Cables & Adapters,TREND SHIFT,-0.5
2024-06-17,Cables & Adapters,POSITIVE SPIKE,0.475
2024-06-17,Cables & Adapters,TREND SHIFT,0.475
2024-06-24,Cables & Adapters,POSITIVE SPIKE,0.833
2024-07-01,Cables & Adapters,NEGATIVE SPIKE,-0.375
2024-07-01,Cables & Adapters,TREND SHIFT,-0.375
2024-07-08,Cables & Adapters,NEGATIVE SPIKE,-0.583
2024-07-15,Cables & Adapters,POSITIVE SPIKE,0.5
2024-07-15,Cables & Adapters,TREND SHIFT,0.5
2024-07-29,Cables & Adapters,POSITIVE SPIKE,0.75
2024-08-12,Cables & Adapters,NEGATIVE SPIKE,-0.5
2024-08-19,Cables & Adapters,NEGATIVE SPIKE,-0.667
2024-09-09,Cables & Adapters,POSITIVE SPIKE,0.25
2024-09-09,Cables & Adapters,TREND SHIFT,0.25
2024-09-30,Cables & Adapters,NEGATIVE SPIKE,-0.417
2024-10-07,Cables & Adapters,POSITIVE SPIKE,0.75
2024-10-07,Cables & Adapters,TREND SHIFT,0.75
2024-10-21,Cables & Adapters,NEGATIVE SPIKE,-0.7
2024-10-21,Cables & Adapters,TREND SHIFT,-0.7
2024-11-11,Cables & Adapters,POSITIVE SPIKE,0.45
2024-11-25,Cables & Adapters,POSITIVE SPIKE,0.25
2024-11-25,Cables & Adapters,TREND SHIFT,0.25
2023-01-30,Computer Accessories,NEGATIVE SPIKE,-0.375
2023-02-06,Computer Accessories,NEGATIVE SPIKE,-0.333
2023-02-13,Computer Accessories,POSITIVE SPIKE,0.875
2023-02-13,Computer Accessories,TREND SHIFT,0.875
2023-02-20,Computer Accessories,POSITIVE SPIKE,0.25
2023-02-27,Computer Accessories,NEGATIVE SPIKE,-0.667
2023-02-27,Computer Accessories,TREND SHIFT,-0.667
2023-03-13,Computer Accessories,POSITIVE SPIKE,0.75
2023-03-13,Computer Accessories,TREND SHIFT,0.75
2023-03-20,Computer Accessories,POSITIVE SPIKE,0.367
2023-03-27,Computer Accessories,NEGATIVE SPIKE,-0.333
2023-03-27,Computer Accessories,TREND SHIFT,-0.333
2023-04-03,Computer Accessories,NEGATIVE SPIKE,-0.45
2023-04-10,Computer Accessories,NEGATIVE SPIKE,-0.667
2023-04-17,Computer Accessories,POSITIVE SPIKE,0.417
2023-04-17,Computer Accessories,TREND SHIFT,0.417
2023-04-24,Computer Accessories,POSITIVE SPIKE,0.5
2023-05-01,Computer Accessories,NEGATIVE SPIKE,-0.667
2023-05-01,Computer Accessories,TREND SHIFT,-0.667
2023-05-08,Computer Accessories,POSITIVE SPIKE,0.25
2023-05-08,Computer Accessories,TREND SHIFT,0.25
2023-05-15,Computer Accessories,POSITIVE SPIKE,0.5
2023-05-22,Computer Accessories,NEGATIVE SPIKE,-0.375
2023-05-22,Computer Accessories,TREND SHIFT,-0.375
2023-05-29,Computer Accessories,POSITIVE SPIKE,0.25
2023-05-29,Computer Accessories,TREND SHIFT,0.25
2023-06-26,Computer Accessories,NEGATIVE SPIKE,-0.25
2023-06-26,Computer Accessories,TREND SHIFT,-0.25
2023-07-03,Computer Accessories,NEGATIVE SPIKE,-0.333
2023-07-17,Computer Accessories,POSITIVE SPIKE,0.5
2023-07-24,Computer Accessories,POSITIVE SPIKE,0.5
2023-08-07,Computer Accessories,NEGATIVE SPIKE,-0.3
2023-08-14,Computer Accessories,POSITIVE SPIKE,0.333
2023-08-14,Computer Accessories,TREND SHIFT,0.333
2023-08-21,Computer Accessories,NEGATIVE SPIKE,-0.283
2023-08-21,Computer Accessories,TREND SHIFT,-0.283
2023-08-28,Computer Accessories,NEGATIVE SPIKE,-0.583
2023-09-11,Computer Accessories,POSITIVE SPIKE,0.25
2023-10-02,Computer Accessories,POSITIVE SPIKE,0.333
2023-10-09,Computer Accessories,NEGATIVE SPIKE,-0.417
2023-10-09,Computer Accessories,TREND SHIFT,-0.417
2023-10-16,Computer Accessories,NEGATIVE SPIKE,-0.333
2023-10-23,Computer Accessories,POSITIVE SPIKE,0.75
