review_date,category,weekly_sentiment,rolling_avg,delta,alert
2023-01-02,Audio & Video,1.0,1.0,,Normal
2023-01-09,Audio & Video,0.5,0.75,-0.25,NEGATIVE SPIKE
2023-01-16,Audio & Video,1.0,0.75,0.0,Normal
2023-01-23,Audio & Video,-1.0,0.0,-0.75,NEGATIVE SPIKE
2023-01-30,Audio & Video,-1.0,-1.0,-1.0,NEGATIVE SPIKE
2023-02-06,Audio & Video,0.0,-0.5,0.5,TREND SHIFT
2023-02-13,Audio & Video,-0.5,-0.25,0.25,POSITIVE SPIKE
2023-02-20,Audio & Video,-1.0,-0.75,-0.5,TREND SHIFT
2023-02-27,Audio & Video,0.333,-0.333,0.417,TREND SHIFT
2023-03-06,Audio & Video,0.333,0.333,0.667,POSITIVE SPIKE
2023-03-13,Audio & Video,0.0,0.167,-0.167,Normal
2023-03-20,Audio & Video,0.25,0.125,-0.042,Normal
2023-03-27,Audio & Video,-0.5,-0.125,-0.25,NEGATIVE SPIKE
2023-04-03,Audio & Video,-1.0,-0.75,-0.625,NEGATIVE SPIKE
2023-04-10,Audio & Video,0.667,-0.167,0.583,TREND SHIFT
2023-04-17,Audio & Video,1.0,0.833,1.0,POSITIVE SPIKE
2023-04-24,Audio & Video,-0.667,0.167,-0.667,TREND SHIFT
2023-05-01,Audio & Video,-1.0,-0.833,-1.0,NEGATIVE SPIKE
2023-05-08,Audio & Video,-1.0,-1.0,-0.167,Normal
2023-05-22,Audio & Video,0.5,-0.25,0.75,TREND SHIFT
2023-05-29,Audio & Video,-1.0,-0.25,0.0,Normal
2023-06-05,Audio & Video,-1.0,-1.0,-0.75,NEGATIVE SPIKE
2023-06-12,Audio & Video,-0.75,-0.875,0.125,Normal
2023-06-19,Audio & Video,0.333,-0.208,0.667,POSITIVE SPIKE
2023-06-26,Audio & Video,-0.333,0.0,0.208,POSITIVE SPIKE
2023-07-03,Audio & Video,1.0,0.333,0.333,POSITIVE SPIKE
2023-07-10,Audio & Video,-1.0,0.0,-0.333,TREND SHIFT
2023-07-17,Audio & Video,-1.0,-1.0,-1.0,NEGATIVE SPIKE
2023-07-24,Audio & Video,-0.6,-0.8,0.2,Normal
2023-07-31,Audio & Video,-0.667,-0.633,0.167,Normal
2023-08-07,Audio & Video,-0.333,-0.5,0.133,Normal
2023-08-14,Audio & Video,1.0,0.333,0.833,POSITIVE SPIKE
2023-08-21,Audio & Video,-0.5,0.25,-0.083,Normal
2023-08-28,Audio & Video,-0.333,-0.417,-0.667,NEGATIVE SPIKE
2023-09-04,Audio & Video,1.0,0.333,0.75,TREND SHIFT
2023-09-11,Audio & Video,0.5,0.75,0.417,POSITIVE SPIKE
2023-09-18,Audio & Video,-0.111,0.194,-0.556,TREND SHIFT
2023-09-25,Audio & Video,0.0,-0.056,-0.25,NEGATIVE SPIKE
2023-10-02,Audio & Video,-1.0,-0.5,-0.444,NEGATIVE SPIKE
2023-10-09,Audio & Video,-0.5,-0.75,-0.25,NEGATIVE SPIKE
2023-10-16,Audio & Video,0.0,-0.25,0.5,TREND SHIFT
2023-10-23,Audio & Video,1.0,0.5,0.75,POSITIVE SPIKE
2023-10-30,Audio & Video,0.0,0.5,0.0,Normal
2023-11-06,Audio & Video,0.5,0.25,-0.25,NEGATIVE SPIKE
2023-11-13,Audio & Video,-0.667,-0.083,-0.333,NEGATIVE SPIKE
2023-11-20,Audio & Video,0.0,-0.333,-0.25,NEGATIVE SPIKE
2023-11-27,Audio & Video,0.0,0.0,0.333,TREND SHIFT
2023-12-04,Audio & Video,-0.667,-0.333,-0.333,TREND SHIFT
2023-12-11,Audio & Video,1.0,0.167,0.5,TREND SHIFT
2023-12-18,Audio & Video,0.5,0.75,0.583,POSITIVE SPIKE
2023-12-25,Audio & Video,1.0,0.75,0.0,Normal
2024-01-01,Audio & Video,-1.0,0.0,-0.75,NEGATIVE SPIKE
2024-01-08,Audio & Video,0.25,-0.375,-0.375,NEGATIVE SPIKE
2024-01-15,Audio & Video,-0.5,-0.125,0.25,TREND SHIFT
2024-01-22,Audio & Video,0.5,0.0,0.125,Normal
2024-01-29,Audio & Video,0.667,0.583,0.583,POSITIVE SPIKE
2024-02-05,Audio & Video,1.0,0.833,0.25,POSITIVE SPIKE
2024-02-12,Audio & Video,0.0,0.5,-0.333,TREND SHIFT
2024-02-19,Audio & Video,-1.0,-0.5,-1.0,NEGATIVE SPIKE
2024-02-26,Audio & Video,-1.0,-1.0,-0.5,NEGATIVE SPIKE
2024-03-04,Audio & Video,0.333,-0.333,0.667,TREND SHIFT
2024-03-11,Audio & Video,-0.333,0.0,0.333,POSITIVE SPIKE
2024-03-18,Audio & Video,0.0,-0.167,-0.167,Normal
2024-03-25,Audio & Video,0.0,0.0,0.167,Normal
2024-04-01,Audio & Video,1.0,0.5,0.5,POSITIVE SPIKE
2024-04-08,Audio & Video,-0.667,0.167,-0.333,TREND SHIFT
2024-04-15,Audio & Video,-1.0,-0.833,-1.0,NEGATIVE SPIKE
2024-04-22,Audio & Video,0.333,-0.333,0.5,TREND SHIFT
2024-04-29,Audio & Video,1.0,0.667,1.0,POSITIVE SPIKE
2024-05-06,Audio & Video,0.143,0.571,-0.095,Normal
2024-05-13,Audio & Video,0.25,0.196,-0.375,NEGATIVE SPIKE
2024-05-20,Audio & Video,0.0,0.125,-0.071,Normal
2024-05-27,Audio & Video,-0.5,-0.25,-0.375,NEGATIVE SPIKE
2024-06-03,Audio & Video,0.0,-0.25,0.0,Normal
2024-06-10,Audio & Video,0.4,0.2,0.45,POSITIVE SPIKE
2024-06-24,Audio & Video,0.0,0.2,0.0,Normal
2024-07-01,Audio & Video,0.0,0.0,-0.2,NEGATIVE SPIKE
2024-07-08,Audio & Video,0.0,0.0,0.0,Normal
2024-07-15,Audio & Video,0.0,0.0,0.0,Normal
2024-07-22,Audio & Video,-0.5,-0.25,-0.25,NEGATIVE SPIKE
2024-07-29,Audio & Video,1.0,0.25,0.5,TREND SHIFT
2024-08-05,Audio & Video,0.25,0.625,0.375,POSITIVE SPIKE
2024-08-12,Audio & Video,1.0,0.625,0.0,Normal
2024-08-19,Audio & Video,0.5,0.75,0.125,Normal
2024-08-26,Audio & Video,-0.6,-0.05,-0.8,TREND SHIFT
2024-09-02,Audio & Video,0.5,-0.05,0.0,Normal
2024-09-09,Audio & Video,-0.667,-0.083,-0.033,Normal
2024-09-16,Audio & Video,0.0,-0.333,-0.25,NEGATIVE SPIKE
2024-09-23,Audio & Video,-0.333,-0.167,0.167,Normal
2024-09-30,Audio & Video,-1.0,-0.667,-0.5,TREND SHIFT
2024-10-07,Audio & Video,-0.333,-0.667,0.0,Normal
2024-10-14,Audio & Video,0.0,-0.167,0.5,POSITIVE SPIKE
2024-10-21,Audio & Video,0.0,0.0,0.167,Normal
2024-10-28,Audio & Video,-0.333,-0.167,-0.167,Normal
2024-11-04,Audio & Video,0.0,-0.167,0.0,Normal
2024-11-11,Audio & Video,-0.333,-0.167,0.0,Normal
2024-11-18,Audio & Video,-0.333,-0.333,-0.167,Normal
2024-11-25,Audio & Video,0.75,0.208,0.542,TREND SHIFT
2020-12-28,Beauty_Personal_Care,1.0,1.0,,Normal
2021-01-04,Beauty_Personal_Care,0.692,0.846,-0.154,Normal
2021-01-11,Beauty_Personal_Care,0.75,0.721,-0.125,Normal
2021-01-18,Beauty_Personal_Care,0.625,0.688,-0.034,Normal
2021-01-25,Beauty_Personal_Care,0.688,0.656,-0.031,Normal
2021-02-01,Beauty_Personal_Care,0.765,0.726,0.07,Normal
2021-02-08,Beauty_Personal_Care,0.75,0.757,0.031,Normal
2021-02-15,Beauty_Personal_Care,0.857,0.804,0.046,Normal
2021-02-22,Beauty_Personal_Care,0.824,0.84,0.037,Normal
2021-03-01,Beauty_Personal_Care,0.75,0.787,-0.054,Normal
2021-03-08,Beauty_Personal_Care,0.75,0.75,-0.037,Normal
2021-03-15,Beauty_Personal_Care,0.714,0.732,-0.018,Normal
2021-03-22,Beauty_Personal_Care,0.933,0.824,0.092,Normal
2021-03-29,Beauty_Personal_Care,0.857,0.895,0.071,Normal
2021-04-05,Beauty_Personal_Care,0.8,0.829,-0.067,Normal
